314	-65	1	14	-41	1
384	-44	1	185	-43	1
14	-45	1	314	-44	1
185	-46	1	185	-31	1
384	-49	1	14	-38	1
14	-38	1	314	-46	1
384	-49	1	14	-41	1
314	-42	1	384	-67	1
14	-57	1	14	-44	1
14	-45	1	185	-41	1
314	-36	1	14	43	1
14	-35	1	314	-40	1
314	-57	1	314	-48	1
314	-41	1	14	-37	1
14	-51	1	384	-52	1
314	-41	1	314	31	1
14	-47	1	14	-31	1
314	-45	1	14	-71	1
314	-46	1	314	-39	1
314	-61	1	314	-47	1
384	-90	1	314	-41	1
14	-51	1	314	-42	1
185	-46	1	314	-34	1
314	-35	1	14	-55	1
314	-55	1	14	-40	1
14	-101	1	14	-37	1
314	-39	1	314	-40	1
314	-31	1	14	-64	1
14	-35	1	14	-31	1
14	-55	1	314	-31	1
384	-64	1	314	-43	1
185	-47	1	14	-36	1
14	-46	1	314	-41	1
14	-49	1	314	-46	1
14	-74	1	14	-65	1
14	-57	1	314	-19	0
185	33	1	314	-4	0
314	-52	1	314	-16	0
14	-69	1	14	-15	0
384	-43	1	14	-20	0
14	-41	1	384	-14	0
314	-66	1	314	-16	0
314	-47	1	14	-15	0
314	-45	1	14	-17	0
384	-44	1	185	-10	0
14	-45	1	185	-11	0
14	-76	1	14	-16	0
185	-52	1	314	-17	0
314	-46	1	314	-11	0
185	-40	1	14	-3	0
14	-41	1	314	-13	0
14	-10	0	185	-22	0
185	-3	0	14	-8	0
14	-20	0	384	-6	0
314	-4	0	14	-9	0
14	-14	0	384	-13	0
314	-15	0	14	-20	0
314	-4	0	314	17	0
384	-14	0	14	-12	0
384	-20	0	14	-22	0
14	-19	0	314	-10	0
314	-13	0	314	7	0
314	-30	0	384	-4	0
314	-20	0	185	-4	0
314	-10	0	14	-12	0
314	-14	0	14	-7	0
14	-8	0	314	-3	0
314	-2	0	314	-19	0
14	-17	0	314	-8	0
314	-14	0	185	-24	0
314	-21	0	384	-7	0
14	-16	0	14	-8	0
314	-8	0	14	-18	0
14	-11	0	314	-23	0
14	-2	0	14	-8	0
314	-9	0	14	3	0
314	-13	0	314	-18	0
14	-14	0	314	-15	0
14	-7	0	14	-14	0
314	-9	0	314	-16	0
14	-7	0	314	-14	0
14	9	0	14	-10	0
14	-12	0	314	-19	0
314	-15	0	314	-16	0
14	-6	0	14	-30	0
185	-10	0	14	-28	0
314	-18	0	14	-17	0
185	-14	0	14	-16	0
384	-10	0	314	-4	0
14	-14	0	314	-14	0
384	-25	0	314	-9	0
384	-14	0	185	-21	0
185	-13	0	314	-17	0
314	-3	0	384	-13	0
14	-16	0	14	-8	0
14	-4	0	185	-11	0
314	-6	0	314	-14	0
14	-21	0	314	-3	0
314	-15	0	14	-14	0
14	-4	0	14	-9	0
14	-14	0			
14	-12	0			
14	-11	0			
314	-28	0			
314	-16	0			
314	-5	0			
14	-6	0			
314	-8	0			
314	23	0			
185	-18	0			
14	-12	0			
14	-19	0			
314	4	0			
314	-10	0			
314	9	0			
14	7	0			
314	-12	0			
14	-3	0			
314	-8	0			
14	-1	0			
14	-5	0			
314	-3	0			
314	-18	0			
314	-17	0			
14	-23	0			
185	-17	0			
314	-9	0			
384	-5	0			
314	-8	0			
14	-7	0			
185	-19	0			
185	-4	0			
14	-4	0			
14	-13	0			
314	-14	0			
314	-16	0			
14	-14	0			
384	-18	0			
314	-16	0			
384	-21	0			
185	-16	0			
185	-8	0			
14	-18	0			
14	-8	0			
384	-7	0			
314	-3	0			
14	-12	0			
314	-7	0			
14	-5	0			
14	-27	0			
185	-14	0			
384	-10	0			
14	-14	0			
185	-4	0			
314	-21	0			
14	-12	0			
314	-9	0			
314	-13	0			
314	-2	0			
314	-8	0			
384	-10	0			
314	-17	0			
384	-5	0			
185	21	0			
14	-23	0			
384	-18	0			
14	-12	0			
314	-1	0			
14	-8	0			
314	-3	0			
14	2	0			
314	-11	0			
384	-14	0			
14	-6	0			
314	-15	0			
314	-12	0			
314	-19	0			
314	-11	0			
185	-5	0			
14	-1	0			
14	-14	0			
14	-6	0			
314	-17	0			
14	-10	0			
14	-16	0			
314	-13	0			
14	-16	0			
14	-13	0			
314	-6	0			
185	-9	0			
384	-24	0			
314	-8	0			
185	-7	0			
14	-6	0			
14	-8	0			
14	-11	0			
314	-29	0			
314	-6	0			
384	-5	0			
384	4	0			
